tx_hash,block_number,block_time,tx_from,num_swaps,swap_path,pools,projects,profit_usd,gas_cost_usd,net_profit_usd,token_balances
0x52c7b7fc79caf9db3e2ed0802f72b10e610b67a286b2a2c07abc375b2167f51b,176366057,2024-02-01 11:01:54.000 UTC,0xd633a88b90f075947d9d08a764830fcada75fd4e,2,WETH → WBTC → WETH,uniswap:0x2f5e87c9 | camelot:0x96059759,"uniswap, camelot",5.681390,0.210589,5.470801,WETH:+0.00250583($+5.6814); WBTC:+0.00000000($+0.0000)
0xe51d43e64fc8b52895d2d1ae0ad29925219cdd1828d992e253e20d8622781d2e,176366102,2024-02-01 11:02:06.000 UTC,0x7f6d2b6aefaebb67926c7892548a6b18519d8cd5,2,WETH → WBTC → WETH,uniswap:0x2f5e87c9 | camelot:0x96059759,"uniswap, camelot",0.233388,0.110769,0.122619,WETH:+0.00010294($+0.2334); WBTC:+0.00000000($+0.0000)
0x13d11bb280efd09bb527669b2c08cdb938e705bdbd964271d3ab201fa4d4f34a,176366249,2024-02-01 11:02:43.000 UTC,0x948fd10a31b8cbf0786117de4a2190b04cc4fffc,2,WETH → WBTC → WETH,uniswap:0x2f5e87c9 | camelot:0x96059759,"uniswap, camelot",5.694074,0.210587,5.483486,WETH:+0.00251145($+5.6941); WBTC:+0.00000000($+0.0000)
0xab04391d093447935a0b8cb494764788e5787add81367100cc655be8f038fef1,176366327,2024-02-01 11:03:03.000 UTC,0x34c304475cb72015be6b9d66690f0c93c850e68a,2,WETH → WBTC → WETH,uniswap:0x2f5e87c9 | camelot:0x96059759,"uniswap, camelot",5.698782,0.210587,5.488195,WETH:+0.00251353($+5.6988); WBTC:+0.00000000($+0.0000)
0x5074f38fb1b42dae6646669c772310d9b45cffa325f746602d4d7eaa97539c7b,176366354,2024-02-01 11:03:10.000 UTC,0x66179d2428e15e4043467f7a06950b85cd847c85,3,WETH → WBTC → USD₮0 → WETH,uniswap:0x2f5e87c9 | uniswap:0x5969efdd | arbswap:0xa2d807f2,"uniswap, uniswap, arbswap",0.783345,0.265151,0.518195,WETH:+0.00034551($+0.7833); WBTC:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000)
0x99545d9e08093125bf7f17d20c4aacec3f4befd7d580d6e83e029a34711d17cd,176366421,2024-02-01 11:03:26.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",12.898329,0.134504,12.763825,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6326478.31265610($+12.8983)
0x301cc50ed51ccf59d1f707b18ab049505995e400aaa897a1fd61771d10fce5c9,176366614,2024-02-01 11:04:15.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",12.695442,0.136076,12.559366,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6323422.59464866($+12.6954)
0x1274b1f4308000c30c0fa384da6fc1e6191be858c93b06b1d410e48318cc1e24,176366707,2024-02-01 11:04:40.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",12.399660,0.134502,12.265158,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6270885.75473982($+12.3997)
0xfde1153f2468bff5445566d801d74ffb5a27648ba6751e2cc400029cfb7843ac,176366979,2024-02-01 11:05:50.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",12.088119,0.134506,11.953613,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6206527.95493692($+12.0881)
0x2dd64693722c4d37a5b107429e9fc9062a586e096f44734729ab9f451359f77c,176367163,2024-02-01 11:06:38.000 UTC,0xbc6c185afa8bd0b0eb5777b71c41c3ca35332dfc,3,USD₮0 → WETH → BEEF → USD₮0,uniswap:0x641c00a8 | sushiswap:0xa568b3e3 | sushiswap:0x82441f1c,"uniswap, sushiswap, sushiswap",11.845497,0.134506,11.710991,USD₮0:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000); BEEF:+6173946.91509360($+11.8455)
