tx_hash,block_number,block_time,tx_from,num_swaps,swap_path,pools,projects,profit_usd,gas_cost_usd,net_profit_usd,token_balances
0xc7070bdd70fa8bde0560ca04ad71e366a50e8bb57caafc952f545312c29800ab,201426605,2024-04-15 23:14:22.000 UTC,0x11145dbc55d226236f5f2d036c91c2c2b95fc834,2,WETH → SPELL → WETH,camelot:0xe28881d6 | sushiswap:0x8f93eaae,"camelot, sushiswap",0.012412,0.006743,0.005669,WETH:+0.00000397($+0.0124); SPELL:+0.00000000($+0.0000)
0x62c1f88cf9e148626f9a792d2e8d597d9a7a72ee86d2c19f0b6709bdbe96a056,201426669,2024-04-15 23:14:38.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,USDC → WETH → USDC,pancakeswap:0x7fcdc354 | ramses:0x30afbcf9,"pancakeswap, ramses",0.043537,0.010112,0.033424,USDC:+0.00000100($+0.0000); WETH:+0.00001392($+0.0435)
0x37893ae6c73f7ff5f048b7e5ff6fea60a90462a7f0d94c616f7aaa59a77db204,201426705,2024-04-15 23:14:47.000 UTC,0x01b0ad2a31d6f6e388e4fe4d0284a62bc03f2276,3,WBTC → WETH → USD₮0 → WBTC,pancakeswap:0x54076c90 | pancakeswap:0x389938cf | uniswap:0x5969efdd,"pancakeswap, pancakeswap, uniswap",0.026714,0.010716,0.015998,WBTC:+0.00000042($+0.0267); WETH:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000)
0x50390f71fb205a408711f873b48c465de09fa951d48ea5529a04cdcd17072415,201426763,2024-04-15 23:15:02.000 UTC,0x9ec1dedacb6f2b556c8432da24cca1285cde1726,2,USD₮0 → WBTC → USD₮0,uniswap:0x53c6ca25 | uniswap:0x5969efdd,"uniswap, uniswap",0.033695,0.000003,0.033691,USD₮0:+0.00000000($+0.0000); WBTC:+0.00000053($+0.0337)
0xc05439b1a6a77827de53661fddbfb6cdc5671f2bfe6b3addc4e9df9c4d7254ff,201426911,2024-04-15 23:15:39.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,PENDLE → WETH → PENDLE,uniswap:0xb08a8794 | pancakeswap:0x1cb28920,"uniswap, pancakeswap",1.649677,0.007981,1.641696,PENDLE:+0.00000000($+0.0000); WETH:+0.00052776($+1.6497)
0x02c97f9b66e956f57f796baae86e2655668bf994593692bc34514e4b078c46fc,201426911,2024-04-15 23:15:39.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,USDC → USDC → USDC,camelot:0xc1ad2395 | camelot:0xc86eb7b8,"camelot, camelot",0.028554,0.000004,0.028549,USDC:+0.00000100($+0.0000); USDC:+0.02852800($+0.0286)
0x5a8643c9e75cb901abb19976b5bc9b439f5cef84e372baa8786f7fed0c934654,201426933,2024-04-15 23:15:45.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,USDC → WETH → USDC,pancakeswap:0x7fcdc354 | pancakeswap:0xd9e2a1a6,"pancakeswap, pancakeswap",0.024692,0.009562,0.015130,USDC:+0.00000100($+0.0000); WETH:+0.00000790($+0.0247)
0x28503fe39bfe990d92e0e14739fa6e96d3c3785b2a60dde30d232217c075e29f,201426942,2024-04-15 23:15:47.000 UTC,0xf29b18cb786a045178c8ee9131e0ff69567bdd2b,2,WETH → wXBL → WETH,uniswap:0x073dbb9c | sushiswap:0x033f6c83,"uniswap, sushiswap",0.010567,0.007724,0.002844,WETH:+0.00000338($+0.0106); wXBL:+0.00000000($+0.0000)
0x4ed42808ea848ba50635a0595dd526b66ae022f80495b114f69b7fd04ff20835,201426980,2024-04-15 23:15:57.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,unshETH → WETH → unshETH,uniswap:0xa57b643b | camelot:0x29fc01f0,"uniswap, camelot",0.336482,0.008317,0.328164,unshETH:+0.00000000($+0.0000); WETH:+0.00010765($+0.3365)
0x733dad21ea1568cc96dea902378b13db80de2e24d4868a3b9b3660b61d67c9d0,201426980,2024-04-15 23:15:57.000 UTC,0x9ec1dedacb6f2b556c8432da24cca1285cde1726,2,unshETH → WETH → unshETH,uniswap:0x3566ea33 | camelot:0x29fc01f0,"uniswap, camelot",0.147646,0.013091,0.134555,unshETH:+0.00000000($+0.0000); WETH:+0.00004723($+0.1476)
0xeb5403ccb84827cc581f1933a9b9bbe787f2005465e9ce8c30067eae7c8cc64e,201426994,2024-04-15 23:16:00.000 UTC,0xf29b18cb786a045178c8ee9131e0ff69567bdd2b,2,unshETH → WETH → unshETH,uniswap:0x24e2270d | uniswap:0xa57b643b,"uniswap, uniswap",0.009281,0.006857,0.002424,unshETH:+0.00000000($+0.0000); WETH:+0.00000297($+0.0093)
0xe6b65e84e53e1ca30e89d8f8a9cd9f15ade616db2307b74b1083aefcb804772c,201427008,2024-04-15 23:16:04.000 UTC,0x11145dbc55d226236f5f2d036c91c2c2b95fc834,3,WETH → WBTC → USD₮0 → WETH,trader_joe:0xcfa09b20 | uniswap:0x5969efdd | uniswap:0x641c00a8,"trader_joe, uniswap, uniswap",0.024353,0.011553,0.012801,WETH:+0.00000780($+0.0244); WBTC:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000)
0x6a75fc4039f680e6f7407ace31a9c634c95f9d4980047e43519c81bd4f932159,201427013,2024-04-15 23:16:05.000 UTC,0x879c2a2f7e4071ebdc971e508885d4a8cdeaf227,3,WETH → USDV → USD₮0 → WETH,uniswap:0x8f5ccd50 | uniswap:0x4992de01 | pancakeswap:0x389938cf,"uniswap, uniswap, pancakeswap",0.051071,0.011990,0.039081,WETH:+0.00001634($+0.0511); USDV:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000)
0x1abca9a99ecb958cbb16ab5af7ccb16f01ce882ef26c932f390ff1d0b8d2c4e6,201427014,2024-04-15 23:16:05.000 UTC,0x8551ea14ae8d156b40050e791749fdbac0510171,2,WETH → USDC → WETH,solidly:0x6c9ab1c1 | pancakeswap:0x7fcdc354,"solidly, pancakeswap",0.018362,0.009987,0.008375,WETH:+0.00000000($+0.0000); USDC:+0.01834600($+0.0184)
0x71b20e9965e2828888f7728b2badf6b2dc0a19d4b82657a7b87204ac7be0f969,201427020,2024-04-15 23:16:07.000 UTC,0x9ec1dedacb6f2b556c8432da24cca1285cde1726,2,PENDLE → WETH → PENDLE,uniswap:0xdbaeb7f0 | uniswap:0xb08a8794,"uniswap, uniswap",0.150246,0.010597,0.139649,PENDLE:+0.00000000($+0.0000); WETH:+0.00004807($+0.1502)
0xa9175112d41ccccc9032041cc4d5bc56b23ee24195e01cc852894574b7d74425,201427023,2024-04-15 23:16:07.000 UTC,0x879c2a2f7e4071ebdc971e508885d4a8cdeaf227,3,WETH → PENDLE → USDC → WETH,uniswap:0xb08a8794 | gammaswap:0x7652a9ab | pancakeswap:0x7fcdc354,"uniswap, gammaswap, pancakeswap",0.107421,0.014154,0.093266,WETH:+0.00003437($+0.1074); PENDLE:+0.00000000($+0.0000); USDC:+0.00000000($+0.0000)
0x2234538ad97788d135091ebb81ff55c15d46ca39c971ecc9889a7589618b44a1,201427026,2024-04-15 23:16:08.000 UTC,0x85bb9a692f709ce5e420db292c504bf0e30bffb5,3,WETH → USDV → USDC → WETH,uniswap:0x8f5ccd50 | uniswap:0x536f4b1c | pancakeswap:0x7fcdc354,"uniswap, uniswap, pancakeswap",0.103046,0.024192,0.078854,WETH:+0.00003297($+0.1030); USDV:+0.00000000($+0.0000); USDC:+0.00000000($+0.0000)
0x26d0ede30437f7e3f51eb59d62f82a51c416aa2c22769b4b7f0dcef7a1282aff,201427028,2024-04-15 23:16:09.000 UTC,0x11145dbc55d226236f5f2d036c91c2c2b95fc834,2,WETH → USDC → WETH,trader_joe:0x69f1216c | uniswap:0xc6962004,"trader_joe, uniswap",0.011061,0.008174,0.002886,WETH:+0.00000354($+0.0111); USDC:+0.00000000($+0.0000)
0x7c33ee09549e84822823ce6b897862d5f411e695c4d52d9505b0ac4db63c1c64,201427030,2024-04-15 23:16:09.000 UTC,0x879c2a2f7e4071ebdc971e508885d4a8cdeaf227,3,USDC → ARB → stEUR → USDC,ramses:0xee5f2e39 | camelot:0xcae4a986 | camelot:0xcc4e4c18,"ramses, camelot, camelot",0.048214,0.000008,0.048206,USDC:+0.04435800($+0.0446); ARB:+0.00307726($+0.0036); stEUR:+0.00003320($+0.0000)
0xd525a72a81eefb9c7c036e6f7b8dc32ba27d8b02ca6a2d10fadfbd54e6f48391,201427041,2024-04-15 23:16:12.000 UTC,0x879c2a2f7e4071ebdc971e508885d4a8cdeaf227,3,USDC → DAI → USDC → USDC,camelot:0x45fae8d0 | trader_joe:0x500173f4 | ramses:0x562d29b5,"camelot, trader_joe, ramses",0.729137,0.000004,0.729133,USDC:+0.70531500($+0.7066); DAI:+0.02250115($+0.0225); USDC:+0.00000000($+0.0000)
0x33ae2765d8b7b0e008083f7e11ff57ba897ce6bde27cd37475c74093e352c863,201427041,2024-04-15 23:16:12.000 UTC,0xf29b18cb786a045178c8ee9131e0ff69567bdd2b,3,WETH → ICHI → USDC → WETH,uniswap:0x071427e4 | uniswap:0xe02e1d8c | pancakeswap:0x7fcdc354,"uniswap, uniswap, pancakeswap",0.014065,0.012224,0.001841,WETH:+0.00000450($+0.0141); ICHI:+0.00000000($+0.0000); USDC:+0.00000000($+0.0000)
0x39f0b114ef18c1388e37cc6552faff1b7c6d7242b592d54bd964b3eb57db2d21,201427043,2024-04-15 23:16:13.000 UTC,0x5d1887c23d5c17350cdcfd17a52e02495f3de2cf,2,DAI → USDC → DAI,gmx:0xabbc5f99 | camelot:0x45fae8d0,"gmx, camelot",0.228972,0.000007,0.228965,DAI:+0.00000000($+0.0000); USDC:+0.22877500($+0.2290)
0x9e25a20c8cfb36e80a63811507b516f54de9e3e394d4fb65130834eaf139d1f5,201427044,2024-04-15 23:16:13.000 UTC,0x54364b93bdeadad411b57408b8d4fb9681f3d263,2,USDC → DAI → USDC,uniswap:0x7cf803e8 | gmx:0xabbc5f99,"uniswap, gmx",0.551504,0.000008,0.551495,USDC:+0.55056800($+0.5515); DAI:+0.00000000($+0.0000)
0x0df6734cabb92375e9ca443300c82d3b82f0304b1c7f6a544a5c2af8d0eb7914,201427051,2024-04-15 23:16:15.000 UTC,0x5330350d3f67a9498d6b0c3ebae926e40af341b0,3,WETH → USDV → USD₮0 → WETH,uniswap:0x8f5ccd50 | uniswap:0x4992de01 | pancakeswap:0x389938cf,"uniswap, uniswap, pancakeswap",0.111985,0.026270,0.085715,WETH:+0.00003583($+0.1120); USDV:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000)
0xad2ea0b6df6baa5f2c4c9eab2d3da035de4eaddee8f98bed6264b415ee109c3e,201427056,2024-04-15 23:16:16.000 UTC,0xc7be1634879985f7906ab6e33a831c8972ef6f50,2,USDC → DAI → USDC,uniswap:0x7cf803e8 | gmx:0xabbc5f99,"uniswap, gmx",0.227712,0.000008,0.227704,USDC:+0.22733100($+0.2277); DAI:+0.00000000($+0.0000)
0x5869c93d0ad1c85cdc17e6358ac124b98b0afadb1cb4adadcb7a230016519d39,201427062,2024-04-15 23:16:17.000 UTC,0x879c2a2f7e4071ebdc971e508885d4a8cdeaf227,3,USDC → ARB → WETH → USDC,ramses:0xee5f2e39 | solidly:0x46b66c5e | pancakeswap:0x7fcdc354,"ramses, solidly, pancakeswap",0.030711,0.014483,0.016228,USDC:+0.03053600($+0.0307); ARB:+0.00000000($+0.0000); WETH:+0.00000000($+0.0000)
0x25951d346c232a9ba92c996879b7f70d9eefcc6f7be77a06220f83d578b48824,201427064,2024-04-15 23:16:18.000 UTC,0x85bb9a692f709ce5e420db292c504bf0e30bffb5,2,USDC → DAI → USDC,uniswap:0x7cf803e8 | gmx:0xabbc5f99,"uniswap, gmx",0.792505,0.000008,0.792497,USDC:+0.79114600($+0.7925); DAI:+0.00000000($+0.0000)
0x38da625e9507c2266394526a8ab158d870395940afcfed965aa7892fb699f168,201427066,2024-04-15 23:16:18.000 UTC,0x879c2a2f7e4071ebdc971e508885d4a8cdeaf227,3,WETH → WBTC → USD₮0 → WETH,pancakeswap:0x54076c90 | uniswap:0x5969efdd | pancakeswap:0x389938cf,"pancakeswap, uniswap, pancakeswap",0.031819,0.012200,0.019619,WETH:+0.00001019($+0.0318); WBTC:+0.00000000($+0.0000); USD₮0:+0.00000000($+0.0000)
0x56bf70e3a9e7bae7eeef5bfc13459329fd68409699c6e1159b40ec4a5aeaa9c4,201427159,2024-04-15 23:16:42.000 UTC,0xdb41a02d8ed34740a03299d746608fa769f055fb,2,AAVE → WETH → AAVE,uniswap:0xa72cd899 | uniswap:0xdd672b3b,"uniswap, uniswap",0.087736,0.007812,0.079924,AAVE:+0.00000000($+0.0000); WETH:+0.00002807($+0.0877)
0x115b9bdcfb846961cd6c0cce0021394d434b3c2829472c692f4378e24a603aa3,201427159,2024-04-15 23:16:42.000 UTC,0x11145dbc55d226236f5f2d036c91c2c2b95fc834,2,WETH → AAVE → WETH,uniswap:0xdd672b3b | uniswap:0x263f7b86,"uniswap, uniswap",0.061501,0.010614,0.050887,WETH:+0.00001968($+0.0615); AAVE:+0.00000000($+0.0000)
